level_0,patient1,patient2,patient3,patient4
TIE1,48,4,294,138
SZT2,2589,2572,2506,3333
ST3GAL3,1090,930,1499,1364
IPO13,2557,2419,2989,3057
ERI3,1820,2179,2175,2470
KDM4A-AS1,28,42,35,27
ERI3-IT1,10,11,12,15
TESK2,126,242,137,204
EIF2B3,1407,1579,1647,2311
ZSWIM5,1429,1084,1203,1507
KIF2C,30,116,48,105
POMGNT1,5011,5278,5807,7558
PIK3R3,2046,1418,2121,1564
MAST2,1850,1591,1660,2706
MKNK1,625,1097,723,1249
CMPK1,11572,15048,13682,15532
CYP4Z2P,0,0,0,0
CYP4Z1,0,0,0,0
SPATA6,380,439,483,508
SKINTL,0,5,2,7
ELAVL4,1101,1113,1454,1128
TTC39A,6190,4734,5714,10814
OSBPL9,3302,4023,4109,5338
NRD1,7418,8117,9295,11982
EPS15,7412,5015,7158,6385
ZYG11B,3260,2706,3324,2728
ZCCHC11,2855,2520,3406,2940
ZFYVE9,3747,3540,4217,3602
CC2D1B,3352,3446,4659,4330
ZYG11A,0,4,0,0
GLIS1,0,0,0,0
LRP8,1003,553,469,903
HSPB11,961,1037,1180,1302
NDC1,1237,1814,1821,1572
CYB5RL,413,537,454,591
ACOT11,463,438,323,514
MROH7-TTC4,1,1,2,2
SSBP3,2496,2726,2730,3071
PRKAA2,567,705,548,856
C1orf168,337,478,321,479
PPAP2B,551,648,1671,1087
C8B,13,0,43,145
DAB1-AS1,0,0,0,0
OMA1,907,1504,1244,1870
LINC01358,1,0,4,3
HOOK1,6864,6013,10532,7572
LOC101926964,1,8,2,4
KANK4,34,84,33,100
INADL,4322,3346,4111,5735
ATG4C,641,858,522,808
DOCK7,2809,2872,3357,3813
LINC00466,0,0,0,0
ROR1,1557,1928,2430,2069
PGM1,3848,4751,4164,6195
DNAJC6,4082,2955,4738,3340
RAVER2,2653,2839,3164,2638
AK4,326,377,517,900
JAK1,11307,12265,11673,18688
PDE4B,848,1188,583,1676
WDR78,241,287,407,327
IL23R,39,8,17,44
SLC35D1,1153,1173,1232,1892
TCTEX1D1,2,12,6,12
SERBP1,6433,7895,9871,10043
DEPDC1,26,47,16,38
WLS,10462,10500,9634,11179
GNG12-AS1,15,20,15,36
GNG12,6987,8103,6773,13678
PIN1P1,2,2,5,3
ANKRD13C,1934,1835,2425,2323
LRRC40,944,1025,1227,1178
PTGER3,1280,754,1050,477
ZRANB2-AS2,37,54,43,27
LINC01360,0,0,0,0
TNNI3K,0,0,0,0
FPGT-TNNI3K,0,0,0,0
LRRIQ3,67,90,48,69
ERICH3,285,232,456,157
MSH4,0,4,0,0
SLC44A5,287,469,490,222
ST6GALNAC5,763,1027,1270,1176
NEXN,122,397,70,436
AK5,152,304,277,168
ZZZ3,4840,4221,6402,4168
GIPC2,267,702,158,506
FAM73A,2698,3734,4870,3172
MGC27382,0,0,0,0
ELTD1,110,2,517,151
LPHN2,1948,1377,2291,2068
SAMD13,98,128,82,117
PRKACB,10248,9998,9398,8826
MIR548AP,0,0,0,0
TTLL7,1343,1034,1192,1029
LOC101927560,20,52,40,25
LOC101927587,22,26,16,15
C1orf52,690,746,880,835
WDR63,3,22,28,23
LPAR3,5,115,21,42
MCOLN2,2,0,19,18
CLCA2,0,2,0,2
COL24A1,6,7,11,2
HS2ST1,4363,4254,5384,5100
LOC101927844,0,0,0,0
LRRC8B,1951,2216,2474,2725
PKN2,3294,3640,4356,4333
GBP4,61,49,144,84
GBP1,90,103,75,355
LRRC8D,3364,3436,4856,3593
HFM1,97,117,173,134
RPAP2,624,511,652,802
EVI5,1606,1864,1938,1806
FNBP1L,8452,6228,9584,10721
MTF2,830,894,1065,1304
BCAR3,761,388,845,867
CCDC18,67,85,87,106
ABCA4,4,7,8,7
SLC44A3,671,2041,1137,1521
ABCD3,5718,6260,7621,7979
LINC01057,55,84,69,125
TMEM56-RWDD3,9,17,9,18
FLJ31662,0,0,0,0
PTBP2,536,694,662,956
LOC101928241,0,0,0,0
DPYD,606,417,422,324
DPYD-AS1,0,0,0,0
SNX7,911,1224,1052,1274
LOC100129620,7,1,5,1
LOC729987,0,0,0,0
PALMD,111,184,119,208
HIAT1,4353,4217,5466,4828
LPPR4,1865,658,1663,918
VCAM1,837,1634,316,2654
CDC14A,511,343,489,605
OLFM3,2,0,0,0
COL11A1,9,43,0,13
RNPC3,287,356,355,391
AMY1A,0,0,0,0
AMY1B,0,0,0,0
AMY1C,0,0,0,0
VAV3,1586,2295,1777,1678
VAV3-AS1,9,5,1,3
MYBPHL,13,14,34,112
WDR47,1901,1483,2054,1786
KIAA1324,33168,33217,41472,43519
GPSM2,156,216,211,234
STXBP3,2848,3391,3839,4105
GSTM1,342,354,4,16
KCNC4,999,981,1276,1487
RBM15,411,340,463,549
DRAM2,2456,3129,2806,3188
ADORA3,48,14,119,41
ST7L,717,1167,1181,1105
KCND3,395,480,906,764
CTTNBP2NL,1337,1281,1359,2180
LRIG2,618,696,811,792
MAGI3,1196,1160,1032,1465
LINC01356,0,0,2,0
TRIM33,3355,3305,4704,3520
DENND2C,96,154,87,157
SYT6,0,12,4,2
AP4B1-AS1,16,14,9,15
BCL2L15,112,425,180,650
SYCP1,0,0,0,0
NGF,16,24,60,31
TSPAN2,3523,3422,5944,3604
CASQ2,4,0,0,6
CD2,4,4,15,23
IGSF3,724,898,482,1453
SLC22A15,1850,1190,1604,1215
ATP1A1,44217,74570,38289,72198
CD101,50,23,91,57
VTCN1,1114,1625,1642,4460
MAN1A2,3332,3721,3510,3187
LOC101929099,13,28,7,31
SPAG17,0,20,5,8
HAO2,2,0,2,0
WARS2,660,750,726,907
FAM72B,1,4,6,17
SRGAP2-AS1,0,0,0,0
LINC00623,0,0,0,0
LINC00869,1,0,0,0
LIX1L,2681,1992,2776,2880
PDE4DIP,12162,11778,12140,12690
RNF115,1757,2114,1747,2081
NOTCH2NL,375,600,129,466
SEC22B,5613,7328,6278,7224
FMO5,273,449,206,526
NBPF12,26,27,40,38
NBPF11,0,0,6,1
LOC101927468,9,6,13,5
LINC00624,0,0,0,0
BCL9,3774,2811,5195,4136
GPR89B,28,42,41,30
FAM231D,0,0,0,0
PPIAL4B+PPIAL4C,0,0,0,0
LOC388692,9,3,9,12
ENSA,9291,11427,11800,14016
TARS2,945,1593,1037,1694
VPS45,1679,1769,1749,2324
CTSS,2021,2408,2148,6204
RPRD2,3783,3890,5179,4590
TUFT1,1755,2305,1896,1972
ZNF687,2199,2719,2793,2867
POGZ,4356,3995,5742,5140
SNX27,2915,2872,3133,2976
RORC,2843,2907,4674,3378
FLG-AS1,467,417,423,196
CHTOP,3003,2744,3478,4620
NUP210L,2,20,4,9
GATAD2B,2010,2032,2914,2320
KCNN3,266,137,360,456
PBXIP1,5693,5255,5205,12859
IL6R,5050,4225,7421,5492
EFNA3,158,56,77,130
LMNA,6163,6309,5297,13395
MSTO1,60,86,70,74
ASH1L,6795,7053,9113,7375
MSTO2P,0,0,0,0
SYT11,11467,11560,12246,10983
MIR7851,0,0,0,1
IQGAP3,18,90,30,55
LRRC71,2,0,0,0
PRCC,1629,1776,1858,2206
FCRL4,0,0,2,2
CD5L,0,0,0,0
IFI16,399,264,663,631
SPTA1,2,0,0,2
COPA,13734,16439,14457,19284
KCNJ10,3,2,0,6
IGSF9,59,65,51,237
CASQ1,2,2,6,7
FCRL6,0,2,0,0
CD244,18,6,38,2
PFDN2,1667,1715,1944,2529
NOS1AP,42,48,23,48
ATF6,4333,6225,6146,7403
NUF2,23,113,62,72
RGS5,779,303,1512,1279
DDR2,216,130,307,248
RXRG,2286,1829,1432,1500
LMX1A,8,0,0,24
LOC400794,0,0,0,0
FMO9P,0,0,0,0
UCK2,1349,1481,2139,2242
FAM78B,73,171,113,148
MAEL,81,21,35,77
POU2F1,1454,1471,1967,1746
RCSD1,12,10,23,41
DCAF6,2757,3300,2895,4338
MPC2,5558,4189,5153,7046
TIPRL,2632,2852,3612,3678
DPT,33,10,2,40
BLZF1,678,778,775,909
ATP1B1,16783,28327,17083,29897
NME7,693,801,685,784
LINC00970,0,0,0,0
PRRX1,324,54,237,568
KIFAP3,3325,3222,3403,4215
METTL11B,0,0,0,0
FMO4,66,191,54,225
VAMP4,3005,2954,3697,2502
FMO2,10,18,5,15
SLC9C2,0,13,2,7
DARS2,1017,1597,1017,2272
RC3H1,1756,2035,2500,2310
LOC100506023,95,117,144,128
RABGAP1L,3085,3473,3798,3726
CACYBP,2604,2764,3533,3463
TNR,194,344,245,403
PAPPA2,4563,1673,5131,8323
ASTN1,807,226,678,549
LOC730102,1732,1298,2337,1395
ABL2,2192,1917,2393,2335
FAM20B,6534,6482,8223,7607
RALGPS2,1343,1358,2037,1887
TDRD5,120,421,84,80
AXDND1,2,9,11,17
LHX4,10,11,34,17
TOR1AIP2,3641,4519,4840,5219
CEP350,4497,4694,5497,5065
MR1,3227,3190,1790,3475
XPR1,7269,6841,7476,8982
CACNA1E,14,4,15,18
LINC01344,0,0,0,0
LAMC1,6089,6852,5588,14472
DHX9,9673,10332,11830,11516
NMNAT2,7581,6163,7494,5719
RGL1,2152,3138,2957,2429
TSEN15,1796,1438,1742,1958
EDEM3,6712,8214,9118,8028
FAM129A,777,3436,1708,1623
SWT1,392,455,518,645
C1orf27,2597,4003,2914,2808
HMCN1,66,45,36,128
RNU6-72P,0,0,0,0
MIR548F1,0,0,0,0
PLA2G4A,275,335,179,725
LOC440704,0,0,0,0
BRINP3,30,10,45,19
LINC01351,2,0,9,2
RGS18,15,0,14,4
CDC73,3182,3931,4378,3701
GLRX2,352,335,311,652
CFHR4,0,0,0,0
KCNT2,356,320,411,451
DENND1B,822,924,1194,856
CRB1,105,40,92,70
PTPRC,51,70,200,113
MIR181A1HG,0,0,0,0
LINC01222,0,0,0,0
NR5A2,1615,4042,1170,4417
CACNA1S,0,0,2,0
IGFN1,9,16,4,43
CAMSAP2,2739,2292,3372,3177
KIF14,6,24,5,21
IPO9-AS1,4,9,5,0
CSRP1,6422,7478,6230,11484
NAV1,6899,5204,9011,8829
ELF3,4975,8893,5228,17193
ARL8A,2066,1696,2607,2756
LGR6,10,12,10,2
IPO9,4451,5631,5144,5280
KDM5B,3541,3355,3844,4373
PPFIA4,21,24,101,67
SYT2,10,8,10,17
PLEKHA6,4701,7386,9256,7472
SOX13,1301,1013,1845,1971
ZC3H11A,6706,7620,7690,7833
ATP2B4,6133,6055,5335,8592
LEMD1,0,0,10,12
DSTYK,3120,3110,4147,3372
NFASC,12957,11214,12504,15257
LRRN2,143,100,224,333
FAIM3,28,39,52,92
YOD1,944,1376,1511,1239
RASSF5,2926,3982,4099,4237
CR1L,0,0,0,8
CR1,2,0,6,0
PLXNA2,5993,5438,8019,6161
SYT14,1096,1036,1556,828
IRF6,5292,4615,5074,7838
KCNH1,428,753,521,615
LPGAT1,5886,6079,7034,9527
INTS7,1782,1725,1971,1816
PPP2R5A,3144,3912,3504,4534
RPS6KC1,1495,1750,1713,1911
PROX1,3166,3040,4739,3613
CENPF,83,122,103,221
PTPN14,211,499,245,625
KCNK2,22,6,4,6
KCTD3,5099,4833,6620,6526
SPATA17,29,45,45,81
GPATCH2,445,464,557,578
RRP15,983,1255,1539,1607
LYPLAL1-AS1,27,42,26,39
MARK1,1956,1372,3178,2167
RAB3GAP2,5338,4938,5991,7028
MARC1,116,160,202,164
DUSP10,490,1011,558,785
DISP1,860,737,891,940
MIA3,5826,6131,6611,6933
TP53BP2,1712,2130,2081,3239
SUSD4,4559,6695,4454,4077
CAPN8,6,51,17,57
CNIH3,518,372,734,553
ENAH,4202,6055,4080,6604
SRP9,8582,10844,11704,12348
ACBD3,4850,4924,5700,6111
CDC42BPA,9535,8849,13569,9842
ADCK3,2482,3510,3309,3033
ITPKB,135,198,255,311
C1orf95,46,31,14,15
SNAP47,1603,1715,1653,1921
OBSCN,800,957,1206,946
ZNF678,604,795,871,840
WNT3A,0,0,0,1
RHOU,738,1539,702,1475
GALNT2,2945,4282,3379,6799
URB2,622,640,758,843
PGBD5,2834,2790,2816,3251
TTC13,1240,1121,1524,1634
COG2,2156,2878,2738,2934
EXOC8,2076,2289,2410,2203
TRIM67,54,4,12,41
DISC1,0,0,0,0
PCNXL2,894,1065,1270,1234
SLC35F3,1801,1823,1608,1966
GNG4,9308,9933,10572,12172
TBCE,856,918,1214,1113
B3GALNT2,1534,1754,1698,1552
ARID4B,3584,2957,3978,3899
TOMM20,7013,8461,15254,10510
GPR137B,1182,888,1511,1521
EDARADD,5316,5973,7692,7834
NID1,771,120,1086,1417
HEATR1,1246,1280,1436,1781
LGALS8,2482,3079,2625,4289
RYR2,456,787,442,288
CHRM3,358,204,402,245
FMN2,3234,3060,3491,2940
KMO,4,18,32,108
WDR64,0,0,3,1
PLD5,14,2,7,4
CEP170,1398,1037,1572,1275
AKT3,7241,6570,9839,8833
SDCCAG8,1130,1469,1234,1799
LOC339529,0,0,0,0
ADSS,2215,2463,2915,3438
C1orf101,100,88,107,111
EFCAB2,416,714,673,863
DESI2,2195,1875,2399,2511
CNST,1955,2074,2215,2202
ZNF670-ZNF695,0,0,0,0
ZNF124,228,268,193,288
AHCTF1,2129,2172,3091,2456
ZNF670,281,420,261,501
NLRP3,8,10,190,139
GCSAML,4,10,9,12
OR2L13,16,10,0,0
OR4F5,0,0,0,0
DDX11L1,0,0,0,0
FAM138A+FAM138F,0,0,0,0
WASH7P,54,31,35,50
MIR6859-1+MIR6859-2,5,5,6,11
LOC729737,27,126,133,277
LOC100132062+LOC100132287+LOC100133331,4,4,3,2
OR4F16+OR4F29+OR4F3,0,0,0,0
MIR6723,1743,7,14,5
LOC100133331,53,47,90,81
LOC100288069,6,6,24,8
FAM87B,6,2,11,4
LINC00115,26,31,22,18
KLHL17,585,701,587,492
LOC100130417,181,439,465,461
NOC2L,2490,2910,2988,3529
PERM1,2,36,14,30
FAM41C,0,12,6,2
PLEKHN1,18,63,21,160
SAMD11,2359,3613,3463,3491
ISG15,229,325,160,464
HES4,191,391,105,555
RNF223,4,16,14,37
AGRN,3508,4553,3369,11795
TNFRSF4,0,0,47,0
MIR200B,2,0,2,5
MIR200A,7,3,6,10
MIR429,3,1,7,10
TTLL10,12,9,11,7
B3GALT6,1325,1423,1745,1890
SDF4,6944,9154,6563,13163
TNFRSF18,25,2,17,92
LINC01342,0,0,0,0
DVL1,3084,2852,3291,3594
SCNN1D,116,129,215,149
TAS1R3,23,29,26,14
MIR6808,0,0,0,1
CPSF3L,1812,2079,1972,2771
UBE2J2,1637,1492,1640,2154
MXRA8,266,152,292,450
PUSL1,493,442,506,643
ACAP3,4610,4624,5786,4813
CPTP,442,805,481,944
MIR6727,7,8,5,5
MIR6726,0,0,0,0
ANKRD65,2507,3226,3802,3349
VWA1,5271,4598,6332,14491
ATAD3C,655,891,976,877
TMEM88B,0,0,0,3
MRPL20,2035,2505,2260,2815
CCNL2,2587,2898,3576,4692
ATAD3B,230,420,396,563
LOC148413,688,1023,833,1208
MIB2,1583,1419,1906,1848
MMP23A,0,0,0,0
ATAD3A,554,820,618,979
SSU72,4071,4088,4823,4972
MMP23B,0,0,0,0
C1orf233,370,356,458,283
TMEM240,100,50,88,78
SLC35E2,775,1102,899,964
CDK11A,182,190,173,332
SLC35E2B,2692,3802,3634,3431
GNB1,27923,28244,32218,34695
TMEM52,26,70,20,51
CALML6,0,0,5,7
GABRD,1,0,0,4
KIAA1751,0,0,0,1
C1orf86,1086,1365,1748,1629
PEX10,773,1170,936,1210
LOC100129534,51,134,68,85
RER1,2883,4292,3412,5464
MORN1,101,136,178,201
PLCH2,4378,5091,11520,1877
PANK4,1267,1206,1430,1636
LOC100133445,181,106,408,103
LOC115110,68,96,136,148
HES5,25,6,16,7
FAM213B,1102,891,1259,1417
MMEL1,1,18,4,36
LOC100996583,1,2,5,0
ACTRT2,0,0,0,0
LINC00982,40,153,49,165
MIR4251,0,0,0,0
ARHGEF16,1152,1305,896,1654
MIR551A,0,0,0,0
TP73,40,32,25,30
TP73-AS1,1902,1855,1937,2157
WRAP73,703,754,781,1003
TPRG1L,7776,7644,9609,8888
LRRC47,2516,3017,3224,3340
CEP104,2563,2241,3054,2769
SMIM1,168,115,147,166
C1orf174,1199,1103,1403,1647
LINC01134,30,40,18,15
LINC01346,0,0,1,0
LOC284661,0,0,0,0
MIR4417,0,0,0,0
MIR4689,0,0,1,2
RPL22,7931,9163,13228,10812
RNF207,288,205,297,419
CHD5,1055,264,698,878
GPR153,767,90,230,196
LINC00337,0,7,2,15
HES3,0,0,0,0
MIR4252,0,0,0,0
ESPN,24,24,8,37
TNFRSF25,42,27,26,46
HES2,4,8,4,26
TAS1R1,5,5,2,6
KLHL21,2703,2135,2607,2557
NOL9,790,763,1119,949
ZBTB48,629,555,647,737
PHF13,1372,1114,1677,1601
DNAJC11,1158,1463,1463,1692
THAP3,627,519,685,678
LOC100505887,0,0,0,0
VAMP3,5571,6070,7078,8500
UTS2,0,4,4,0
PARK7,7214,8866,7957,10954
ERRFI1,2834,4332,5003,5131
ENO1,32587,35003,38681,67714
CA6,0,0,0,0
ENO1-AS1,9,30,12,14
MIR6728,0,0,0,1
SLC2A7,0,0,0,0
SLC2A5,6,4,0,9
MIR34A,0,0,0,0
SPSB1,654,964,909,1605
LOC100506022,22,93,43,74
TMEM201,908,830,997,818
SLC25A33,416,398,446,535
C1orf200,0,0,0,0
PIK3CD,260,278,322,561
RBP7,34,17,58,44
LZIC,1325,1316,1826,1774
NMNAT1,678,788,737,1183
PGD,5385,4901,5283,7421
APITD1,72,139,134,105
APITD1-CORT,0,0,0,0
DFFA,1107,1257,1213,1680
CORT,4,16,2,4
TARDBP,6017,6774,7010,8339
SRM,994,1312,1111,1434
MASP2,91,70,158,82
ANGPTL7,2,37,3,12
MTOR-AS1,1,2,1,0
UBIAD1,1097,1212,1300,1458
PTCHD2,651,1566,949,924
FBXO6,431,395,441,747
FBXO44,1764,1588,1736,1348
MAD2L2,833,748,704,1229
FBXO2,2646,3665,1916,2180
DRAXIN,0,1,2,3
LOC101929181,0,0,0,0
CLCN6,1579,1297,1471,1899
NPPA-AS1,27,26,57,34
NPPB,0,44,8,68
NPPA,20,28,19,13
MTHFR,1861,1610,1919,2749
C1orf167,0,0,0,0
PLOD1,2378,2823,1925,4358
KIAA2013,2538,2477,2327,3721
MIIP,373,379,515,590
MIR6729,0,0,0,1
TNFRSF1B,92,37,101,137
MIR4632,0,0,0,0
MIR7846,0,0,0,1
SNORA59A+SNORA59B,0,0,0,0
DHRS3,884,2172,1205,3281
MIR6730,0,0,1,1
PRAMEF12,4,0,0,0
AADACL3,0,0,0,0
C1orf158,21,69,60,29
PRAMEF2,0,0,0,0
PRAMEF11,0,0,0,0
PRAMEF4,0,0,0,0
LOC649330,0,0,0,0
HNRNPCL1,0,0,0,0
PRAMEF1,0,0,0,0
PRAMEF7+PRAMEF8,0,0,0,0
PRAMEF9,0,0,0,0
PRAMEF6,0,0,0,0
PRAMEF22,0,0,0,0
HNRNPCL2,1,1,1,1
PRAMEF5,0,0,0,0
LOC645354+LOC649324,0,0,0,0
PRAMEF15,0,0,0,0
PRAMEF19,0,0,0,0
PRAMEF16,0,0,0,0
LOC400736+PRAMEF14,0,0,0,0
PRAMEF17,0,0,0,0
PRAMEF20,0,0,0,0
LRRC38,0,0,2,0
PDPN,29,44,67,201
PRDM2,2051,1977,2263,2567
TMEM51,1333,1945,1216,2535
C1orf195,2,0,0,2
CASP9,484,729,645,846
CELA2A,653,7800,1502,662
EFHD2,1369,1930,1503,3145
CTRC,2740,19390,3361,2084
CELA2B,21,238,59,89
DDI2,300,275,444,386
AGMAT,66,213,111,172
RSC1A1,206,259,382,301
SLC25A34,2299,1769,1887,1268
PLEKHM2,6370,6541,9334,8242
FBLIM1,1665,3085,1853,3990
TMEM82,0,32,4,5
UQCRHL,1373,1804,1427,2258
FLJ37453,486,493,460,579
ZBTB17,1609,1697,1835,1984
CLCNKB,14,25,27,11
CLCNKA,11,18,5,24
C1orf64,0,0,0,0
HSPB7,27,62,11,95
EPHA2,262,551,301,1008
FAM131C,798,483,931,501
RSG1,152,167,167,388
